Country_Region,Average_male_height_cm,Average_male_height_ft,Average_female_height_(cm),Average_female_height_ft,Average_age_range,,,
Albania,174,5ft 8 1/2,161.8,5ft 3 1/2,20-29,,,
Argentina,174.46,5ft 8 1/2,161.0,5ft 3 1/2,18,,,
Armenia,,,158.1,5ft 2,25-49,,,
Australia,176.7,5ft 10,162.8,5ft 4 1/2,18-24,,,
Austria,179.25,5ft 10 1/2,167.3,5ft 5 1/2,20-49,,,
Azerbaijan,171.8,5ft 7 1/2,165.4,5ft 5,16,,,
Bahrain,168.05,5ft 5,155.4,5ft 1/2,19+,,,
Bangladesh,,,150.6,4ft 11 1/2,25-49,,,
Belgium,178.6,5ft 10 1/2,168.1,5ft 6,21,,,
Benin,,,159.3,5ft 2 1/2,25-49,,,
Bolivia,160,5ft 3,142.2,4ft 8,20-29,,,
Bosnia and Herzegovina,183.9,6ft 1/2,171.8,5ft 7 1/2,19-32,,,
Brazil,173,5ft 8,161.1,5ft 3 1/2,20-24,,,","
Brazil-Rural,170.9,5ft 7 1/2,158.9,5ft 2 1/2,20-24,,,
Brazil-Urban,173.5,5ft 8 1/2,161.6,5ft 3 1/2,20-24,,,
Bulgaria,175.2,5ft 9,163.2,5ft 4 1/2,,,,
Bulgaria-Sofia,178.1,5ft 10,164.8,5ft 5,,,,
Burkina Faso,,,161.6,5ft 3 1/2,25-49,,,
Cambodia,,,152.4,5ft 0,25-49,,,
Cameroon-Urban,172.1,5ft 8,162.0,5ft 4,35-44,,,
Canada,176,5ft 9 1/2,163.3,5ft 4 1/2,25-44,,,
Central African Republic,,,158.9,5ft 2 1/2,25-49,,,
Chad,,,162.6,5ft 4,25-49,,,
Chile,171.2,5ft 7 1/2,157.2,5ft 2,25-44,,,
China Mainland,172.1,5 ft 8,160.1,5ft 3,19,,,
China People's Republic of-Beijing,174.7,5ft 9,161.3,5ft 3 1/2,21,,,
China People's Republic of-Rural,166.3,5ft 5 1/2,157.0,5ft 2,17,,,
China People's Republic of-Sichuan,169.2,5ft 6 1/2,158.2,5ft 2 1/2,20-24,,,
China People's Republic of-Urban,170.2,5ft 7,158.6,5ft 2 1/2,17,,,
Colombia,170.6,5ft 7,158.7,5ft 2 1/2,18-22,,,
Comoros,,,154.8,5ft 1,25-49,,,
Croatia,180.4,5ft 11,166.5,5ft 5 1/2,18,,,
Cuba-Urban,168,5ft 6,156.0,5ft 1 1/2,15,,,
Czech Republic,180.31,5ft 11,167.2,5ft 6,17,,,
Democratic Republic of the Congo,,,157.7,5ft 2,25-49,,,
Denmark,182.6,6ft 0,168.7,5ft 6 1/2,23,,,
Dinaric Alps,185.6,6ft 1,171.1,5ft 7 1/2,17,,,
Dominican Republic,,,156.4,5ft 1 1/2,25-49,,,
Egypt,170.3,5ft 7,158.9,5ft 2 1/2,20-24,,,
El Salvador,,,160.3,5ft 3,25-49,,,
Estonia,179.1,5ft 10 1/2,,,17,,,
Ethiopia,,,157.6,5ft 2,25-49,,,
Europe,177.6,5ft 10,,,17-29,,,
Finland,180.7,5ft 11,167.2,5ft 6,25,,,
France,177,5ft 9 1/2,164.6,5ft 5,20-29,,,
Gabon,,,158.4,5ft 2 1/2,25-49,,,
Gambia-Rural,168,5ft 6,157.8,5ft 2,21-49,,,
Germany,178.9,5ft 10 1/2,166.1,5ft 5 1/2,18-37,,,
Germany-Urban,180.6,5ft 11,168.5,5ft 6 1/2,18-37,,,
Ghana,169.5,5ft 6 1/2,158.5,5ft 2 1/2,25-29,,,
Greece,177,5ft 9 1/2,166.0,5ft 5 1/2,20-24,,,
Guatemala,,,147.3,4ft 10,25-49,,,
Guinea,,,158.8,5ft 2 1/2,25-49,,,
Haiti,,,158.6,5ft 2 1/2,25-49,,,
Honduras,,,152.0,5ft 0,25-49,,,
Hong Kong,173.4,5ft 8 1/2,160.1,5ft 3,19-20,,,
Hungary,176,5ft 9 1/2,164.0,5ft 4 1/2,20+,,,
India,166.3,5ft 5 1/2,152.6,5ft 0,20,,,
India-Rural,161.2,5ft 3 1/2,152.1,5ft 0,17+,,,
Indonesia,158,5ft 2,147.0,4ft 10,50+,,,
Iran,170.3,5ft 7,157.2,5ft 2,21+,,,
Iraq-Baghdad,165.4,5ft 5,155.8,5ft 1 1/2,18-44,,,
Ireland,177,5ft 9 1/2,163.0,5ft 4,20-49,,,
Israel,177,5ft 9 1/2,166.0,5ft 5 1/2,18-21,,,
Italy,177.2,5ft 10,167.8,5ft 6,21,,,
Ivory Coast,170.1,5ft 7,159.1,5ft 2 1/2,25-29,,,
Jamaica,171.8,5ft 7 1/2,160.8,5ft 3 1/2,25-74,,,
Japan,172,5ft 7 1/2,158.0,5ft 2,20-49,,,
Jordan,,,158.2,5ft 2 1/2,25-49,,,
Kazakhstan,,,159.8,5ft 3,25-49,,,
Kenya,,,159.4,5ft 3,25-49,,,
Kyrgyzstan,,,158.0,5ft 2,25-49,,,
Lesotho,,,157.6,5ft 2,25-49,,,
Liberia,,,157.3,5ft 2,25-49,,,
Lithuania,181.3,5ft 11 1/2,167.5,5ft 6,18,,,
Lithuania-Rural,176.2,5ft 9 1/2,,,19-25,,,
Lithuania-Urban,178.4,5ft 10,,,19-25,,,
Madagascar,,,154.3,5ft 1/2,25-49,,,
Malawi-Urban,166,5ft 5 1/2,155.0,5ft 1,16-60,,,
Malaysia,166.3,5ft 5 1/2,154.7,5ft 1,20-24,,,
Mali-Southern Mali,171.3,5ft 7 1/2,160.4,5ft 3,Adults,,,
Malta,175.2,5ft 9,163.8,5ft 4 1/2,25-34,,,
Mexico,169,5ft 6 1/2,155.0,5ft 1,20-24,,,
Mexico-Bajio,172,5ft 7 1/2,,,Adults,,,
Mexico-Central,,,162.0,5ft 4,26-39,,,
Mexico-Morelos,167,5ft 5 1/2,155.0,5ft 1,18-76,,,
Moldova,,,161.2,5ft 3 1/2,25-49,,,
Mongolia,168.4,5ft 6 1/2,157.7,5ft 2,25-34,,,
Montenegro,183.2,6ft 0,168.4,5ft 6 1/2,Students,,,
Morocco,,,158.5,5ft 2 1/2,25-49,,,
Mozambique,,,156.0,5ft 1 1/2,25-49,,,
Namibia,,,160.7,5ft 3 1/2,25-49,,,
Nepal,,,150.8,4ft 11 1/2,25-49,,,
Netherlands,183.8,6ft 1/2,170.7,5ft 7,21,,,
New Zealand,178,5ft 10,164.0,5ft 4 1/2,20-24,,,
Nicaragua,,,153.7,5ft 1/2,25-49,,,
Nigeria,167.2,5ft 6,160.3,5ft 3,20-29,,,
North Korea,165.6,5ft 5,154.9,5ft 1,20-39,,,
Norway,182.4,6ft 0,168.0,5ft 6,20-25,,,
People's Republic of China,167.1,5ft 6,155.8,5ft 1 1/2,18,,,
Peru,164,5ft 4 1/2,151.0,4ft 11 1/2,20,,,
Philippines,163.4,5ft 4 1/2,151.7,4ft 11 1/2,20-39,,,
Poland,178.7,5ft 10 1/2,165.1,5ft 5,18,,,
Portugal,171,5ft 7 1/2,161.0,5ft 3 1/2,20-50,,,
Qatar,170.8,5ft 7,161.1,5ft 3 1/2,18,,,
Republic of the Congo,,,159.0,5ft 2 1/2,25-49,,,
Romania,172,5ft 7 1/2,157.0,5ft 2,,,,
Russia,177.2,5ft 10,164.1,5ft 4 1/2,24,,,
Rwanda,,,157.7,5ft 2,25-49,,,
Samoa,,,166.6,5ft 5 1/2,18-28,,,
Saudi Arabia,168.9,5ft 6 1/2,156.3,5ft 1 1/2,18,,,
Senegal,,,163.0,5ft 4,25-49,,,
Serbia,182,5ft 11 1/2,166.8,5ft 5 1/2,18-30,,,
Singapore,171,5ft 7 1/2,160.0,5ft 3,Chinese students,,,
Slovakia,179.4,5ft 10 1/2,165.6,5ft 5,18,,,
Slovenia-Ljubljana,180.3,5ft 11,167.4,5ft 6,19,,,
South Africa,168,5ft 6,159.0,5ft 2 1/2,19,,,
South Korea,170.7,5ft 7,157.4,5ft 2,20+,,,
South Korea-Seoul,173.9,5ft 8 1/2,,,18-19,,,
Spain,178,5ft 10,166.2,5ft 5 1/2,21,,,
Sri Lanka,165.6,5ft 5,154.0,5ft 1/2,18-29,,,
Swaziland,,,159.1,5ft 2 1/2,25-49,,,
Sweden,177.9,5ft 10,164.6,5ft 5,20-74,,,
Switzerland,175.4,5ft 9,164.0,5ft 4 1/2,20-74,,,
Taiwan,171.4,5ft 7 1/2,159.9,5ft 3,17,,,
Tanzania,,,156.6,5ft 1 1/2,25-49,,,
Thailand,170.3,5ft 7,159.0,5ft 2 1/2,15-19,,,
Togo,,,159.0,5ft 2 1/2,25-49,,,
Tonga,176.1,5ft 9 1/2,165.3,5ft 5,40,,,
Turkey,173.6,5ft 8 1/2,161.9,5ft 3 1/2,20-22,,,
Turkey-Ankara,176.1,5ft 9 1/2,162.0,5ft 4,18-29,,,
U.S.,175.9,5ft 9 1/2,162.1,5ft 4,20+,,,
U.S. (African Americans),176.9,5ft 9 1/2,163.7,5ft 4 1/2, 20-39,,,
U.S. (Hispanic/Latino),171.1,5ft 7 1/2,158.2,5ft 2 1/2,20-39,,,
U.S. (Non-Hispanic White),178.4,5ft 10,164.9,5ft 5,20-39,,,
Uganda,,,159.2,5ft 2 1/2,25-49,,,
UK-England,177.8,5ft 10,164.5,5ft 5,25-34,,,
UK-Scotland,178.2,5ft 10,163.5,5ft 4 1/2,25-34,,,
UK-Wales,177,5ft 9 1/2,162.0,5ft 4,16,,,
United Arab Emirates,173.4,5ft 8 1/2,156.4,5ft 1 1/2,,,,
Uruguay,170,5ft 7,158.0,5ft 2,Adults,,,
Uzbekistan,,,159.9,5ft 3,25-49,,,
Vietnam,165.7,5ft 5,155.2,5ft 1,20-25,,,
Zambia,,,158.5,5ft 2 1/2,25-49,,,
Zimbabwe,,,160.3,5ft 3,25-49,,,
